"contrast","R2","pval","pvalBon","pvalFDR","pvalHolm","pvalHochberg","pvalHommel"
"single clone vs. 24 clones",0.062,0.017,0.1,0.034,0.076,0.069,0.069
"single clone vs. 4 clones",0.0086,0.61,3.6,0.61,0.61,0.61,0.61
"single clone vs. LacZ ancestor",0.032,0.15,0.89,0.18,0.3,0.3,0.3
"24 clones vs. 4 clones",0.1,0.015,0.092,0.046,0.076,0.069,0.061
"24 clones vs. LacZ ancestor",0.26,0.0033,0.02,0.02,0.02,0.02,0.02
"4 clones vs. LacZ ancestor",0.073,0.093,0.56,0.14,0.28,0.28,0.22
