"contrast","R2","pval","pvalBon","pvalFDR","pvalHolm","pvalHochberg","pvalHommel"
"single clone vs. 24 clones",0.052,0.02,0.12,0.061,0.1,0.1,0.082
"single clone vs. 4 clones",0.0093,0.61,3.7,0.61,0.76,0.61,0.61
"single clone vs. LacZ ancestor",0.018,0.38,2.3,0.46,0.76,0.61,0.61
"24 clones vs. 4 clones",0.092,0.014,0.081,0.081,0.081,0.081,0.063
"24 clones vs. LacZ ancestor",0.15,0.025,0.15,0.051,0.1,0.1,0.1
"4 clones vs. LacZ ancestor",0.048,0.22,1.3,0.32,0.65,0.61,0.57
