"contrast","R2","pval","pvalBon","pvalFDR","pvalHolm","pvalHochberg","pvalHommel"
"single clone vs. 24 clones",0.078,0.0019,0.011,0.011,0.011,0.011,0.011
"single clone vs. 4 clones",0.0085,0.68,4.1,0.68,0.99,0.68,0.68
"single clone vs. LacZ ancestor",0.017,0.44,2.6,0.52,0.99,0.68,0.68
"24 clones vs. 4 clones",0.11,0.0058,0.035,0.017,0.029,0.029,0.029
"24 clones vs. LacZ ancestor",0.17,0.021,0.13,0.042,0.084,0.084,0.084
"4 clones vs. LacZ ancestor",0.038,0.33,2,0.5,0.99,0.68,0.66
