"contrast","R2","pval","pvalBon","pvalFDR","pvalHolm","pvalHochberg","pvalHommel"
"single clone vs. 24 clones",0.054,0.016,0.098,0.049,0.081,0.081,0.065
"single clone vs. 4 clones",0.0086,0.66,3.9,0.66,0.71,0.66,0.66
"single clone vs. LacZ ancestor",0.019,0.36,2.1,0.43,0.71,0.66,0.66
"24 clones vs. 4 clones",0.096,0.013,0.077,0.077,0.077,0.077,0.06
"24 clones vs. LacZ ancestor",0.15,0.024,0.14,0.048,0.096,0.096,0.096
"4 clones vs. LacZ ancestor",0.051,0.19,1.1,0.28,0.57,0.57,0.53
