"contrast","R2","pval","pvalBon","pvalFDR","pvalHolm","pvalHochberg","pvalHommel"
"single clone vs. 24 clones",0.043,0.0092,0.055,0.028,0.046,0.046,0.046
"single clone vs. 4 clones",0.011,0.65,3.9,0.65,0.65,0.65,0.65
"single clone vs. LacZ ancestor",0.036,0.054,0.32,0.064,0.13,0.11,0.11
"24 clones vs. 4 clones",0.065,0.027,0.16,0.054,0.11,0.11,0.08
"24 clones vs. LacZ ancestor",0.17,0.0028,0.017,0.017,0.017,0.017,0.017
"4 clones vs. LacZ ancestor",0.075,0.042,0.25,0.063,0.13,0.11,0.084
