"contrast","R2","pval","pvalBon","pvalFDR","pvalHolm","pvalHochberg","pvalHommel"
"single clone vs. 24 clones",0.048,0.0046,0.028,0.014,0.023,0.023,0.018
"single clone vs. 4 clones",0.013,0.47,2.8,0.47,0.47,0.47,0.47
"single clone vs. LacZ ancestor",0.028,0.12,0.71,0.14,0.24,0.24,0.24
"24 clones vs. 4 clones",0.081,0.0039,0.023,0.023,0.023,0.023,0.016
"24 clones vs. LacZ ancestor",0.15,0.0061,0.037,0.012,0.024,0.024,0.024
"4 clones vs. LacZ ancestor",0.06,0.062,0.37,0.093,0.19,0.19,0.18
