"contrast","R2","pval","pvalBon","pvalFDR","pvalHolm","pvalHochberg","pvalHommel"
"single clone vs. 24 clones",0.04,0.012,0.075,0.038,0.062,0.062,0.062
"single clone vs. 4 clones",0.013,0.51,3.1,0.51,0.51,0.51,0.51
"single clone vs. LacZ ancestor",0.026,0.15,0.88,0.18,0.29,0.29,0.29
"24 clones vs. 4 clones",0.07,0.0049,0.029,0.029,0.029,0.029,0.029
"24 clones vs. LacZ ancestor",0.12,0.025,0.15,0.051,0.1,0.1,0.1
"4 clones vs. LacZ ancestor",0.056,0.077,0.46,0.12,0.23,0.23,0.22
