"contrast","R2","pval","pvalBon","pvalFDR","pvalHolm","pvalHochberg","pvalHommel"
"single clone vs. 24 clones",0.041,0.0098,0.059,0.029,0.049,0.049,0.049
"single clone vs. 4 clones",0.012,0.61,3.6,0.61,0.61,0.61,0.61
"single clone vs. LacZ ancestor",0.028,0.11,0.69,0.14,0.23,0.23,0.23
"24 clones vs. 4 clones",0.069,0.0082,0.049,0.049,0.049,0.049,0.041
"24 clones vs. LacZ ancestor",0.13,0.02,0.12,0.039,0.078,0.078,0.078
"4 clones vs. LacZ ancestor",0.061,0.065,0.39,0.098,0.2,0.2,0.17
