"contrast","R2","pval","pvalBon","pvalFDR","pvalHolm","pvalHochberg","pvalHommel"
"single clone vs. 24 clones",0.037,0.0047,0.028,0.014,0.024,0.024,0.024
"single clone vs. 4 clones",0.012,0.64,3.9,0.64,0.64,0.64,0.64
"single clone vs. LacZ ancestor",0.032,0.042,0.25,0.05,0.11,0.084,0.084
"24 clones vs. 4 clones",0.057,0.017,0.1,0.033,0.066,0.066,0.056
"24 clones vs. LacZ ancestor",0.14,0.0026,0.016,0.016,0.016,0.016,0.014
"4 clones vs. LacZ ancestor",0.064,0.036,0.22,0.054,0.11,0.084,0.072
