"contrast","R2","pval","pvalBon","pvalFDR","pvalHolm","pvalHochberg","pvalHommel"
"single clone vs. 24 clones",0.04,0.044,0.26,0.087,0.21,0.17,0.17
"single clone vs. 4 clones",0.0089,0.65,3.9,0.65,0.81,0.65,0.65
"single clone vs. LacZ ancestor",0.017,0.41,2.4,0.49,0.81,0.65,0.65
"24 clones vs. 4 clones",0.077,0.028,0.17,0.17,0.17,0.17,0.11
"24 clones vs. LacZ ancestor",0.13,0.043,0.26,0.13,0.21,0.17,0.17
"4 clones vs. LacZ ancestor",0.052,0.18,1.1,0.27,0.53,0.53,0.53
