"contrast","R2","pval","pvalBon","pvalFDR","pvalHolm","pvalHochberg","pvalHommel"
"single clone vs. 24 clones",0.035,0.005,0.03,0.015,0.028,0.025,0.025
"single clone vs. 4 clones",0.014,0.47,2.8,0.47,0.47,0.47,0.47
"single clone vs. LacZ ancestor",0.025,0.1,0.6,0.12,0.2,0.2,0.2
"24 clones vs. 4 clones",0.06,0.0047,0.028,0.028,0.028,0.025,0.024
"24 clones vs. LacZ ancestor",0.1,0.022,0.13,0.044,0.087,0.087,0.087
"4 clones vs. LacZ ancestor",0.053,0.053,0.32,0.08,0.16,0.16,0.15
