"contrast","R2","pval","pvalBon","pvalFDR","pvalHolm","pvalHochberg","pvalHommel"
"single clone vs. 24 clones",0.08,0.0017,0.01,0.01,0.01,0.01,0.0085
"single clone vs. 4 clones",0.0083,0.7,4.2,0.7,1,0.7,0.7
"single clone vs. LacZ ancestor",0.016,0.46,2.7,0.55,1,0.7,0.7
"24 clones vs. 4 clones",0.12,0.0026,0.016,0.008,0.013,0.013,0.013
"24 clones vs. LacZ ancestor",0.17,0.018,0.11,0.036,0.072,0.072,0.072
"4 clones vs. LacZ ancestor",0.037,0.35,2.1,0.52,1,0.7,0.7
