"contrast","R2","pval","pvalBon","pvalFDR","pvalHolm","pvalHochberg","pvalHommel"
"single clone vs. 24 clones",0.042,0.016,0.094,0.031,0.065,0.062,0.062
"single clone vs. 4 clones",0.013,0.46,2.8,0.46,0.46,0.46,0.46
"single clone vs. LacZ ancestor",0.028,0.12,0.72,0.14,0.24,0.24,0.24
"24 clones vs. 4 clones",0.073,0.0048,0.029,0.029,0.029,0.029,0.029
"24 clones vs. LacZ ancestor",0.14,0.013,0.078,0.039,0.065,0.062,0.052
"4 clones vs. LacZ ancestor",0.058,0.065,0.39,0.098,0.2,0.2,0.18
