"contrast","R2","pval","pvalBon","pvalFDR","pvalHolm","pvalHochberg","pvalHommel"
"single clone vs. 24 clones",0.033,0.026,0.16,0.078,0.13,0.13,0.1
"single clone vs. 4 clones",0.014,0.42,2.5,0.42,0.42,0.42,0.42
"single clone vs. LacZ ancestor",0.023,0.19,1.2,0.23,0.39,0.39,0.39
"24 clones vs. 4 clones",0.058,0.012,0.069,0.069,0.069,0.069,0.069
"24 clones vs. LacZ ancestor",0.11,0.038,0.22,0.075,0.15,0.15,0.15
"4 clones vs. LacZ ancestor",0.048,0.11,0.68,0.17,0.34,0.34,0.29
