"contrast","R2","pval","pvalBon","pvalFDR","pvalHolm","pvalHochberg","pvalHommel"
"single clone vs. 24 clones",0.062,0.0027,0.016,0.008,0.014,0.013,0.011
"single clone vs. 4 clones",0.012,0.53,3.2,0.53,0.53,0.53,0.53
"single clone vs. LacZ ancestor",0.029,0.13,0.77,0.15,0.26,0.26,0.26
"24 clones vs. 4 clones",0.11,0.0015,0.009,0.009,0.009,0.009,0.0075
"24 clones vs. LacZ ancestor",0.19,0.0033,0.02,0.007,0.014,0.013,0.013
"4 clones vs. LacZ ancestor",0.06,0.081,0.48,0.12,0.24,0.24,0.19
