"contrast","R2","pval","pvalBon","pvalFDR","pvalHolm","pvalHochberg","pvalHommel"
"single clone vs. 24 clones",0.062,0.017,0.1,0.034,0.068,0.068,0.068
"single clone vs. 4 clones",0.0086,0.62,3.7,0.62,0.62,0.62,0.62
"single clone vs. LacZ ancestor",0.032,0.15,0.9,0.18,0.3,0.3,0.3
"24 clones vs. 4 clones",0.1,0.013,0.076,0.038,0.064,0.064,0.051
"24 clones vs. LacZ ancestor",0.26,0.0057,0.034,0.034,0.034,0.034,0.034
"4 clones vs. LacZ ancestor",0.073,0.092,0.55,0.14,0.28,0.28,0.22
