"contrast","R2","pval","pvalBon","pvalFDR","pvalHolm","pvalHochberg","pvalHommel"
"single clone vs. 24 clones",0.047,0.019,0.11,0.038,0.076,0.076,0.076
"single clone vs. 4 clones",0.012,0.52,3.1,0.52,0.52,0.52,0.52
"single clone vs. LacZ ancestor",0.03,0.12,0.75,0.15,0.25,0.25,0.25
"24 clones vs. 4 clones",0.08,0.0068,0.041,0.041,0.041,0.041,0.034
"24 clones vs. LacZ ancestor",0.17,0.009,0.054,0.027,0.045,0.045,0.045
"4 clones vs. LacZ ancestor",0.064,0.07,0.42,0.1,0.21,0.21,0.19
