"contrast","R2","pval","pvalBon","pvalFDR","pvalHolm","pvalHochberg","pvalHommel"
"single clone vs. 24 clones",0.052,7e-04,0.0042,0.002,0.0035,0.0035,0.0035
"single clone vs. 4 clones",0.014,0.41,2.4,0.41,0.41,0.41,0.41
"single clone vs. LacZ ancestor",0.028,0.1,0.6,0.12,0.2,0.2,0.2
"24 clones vs. 4 clones",0.089,5e-04,0.003,0.003,0.003,0.003,0.0025
"24 clones vs. LacZ ancestor",0.15,0.0054,0.032,0.011,0.022,0.022,0.022
"4 clones vs. LacZ ancestor",0.057,0.065,0.39,0.097,0.19,0.19,0.15
