"contrast","R2","pval","pvalBon","pvalFDR","pvalHolm","pvalHochberg","pvalHommel"
"single clone vs. 24 clones",0.042,0.003,0.018,0.009,0.015,0.015,0.015
"single clone vs. 4 clones",0.014,0.37,2.2,0.37,0.37,0.37,0.37
"single clone vs. LacZ ancestor",0.027,0.091,0.55,0.11,0.18,0.18,0.18
"24 clones vs. 4 clones",0.07,0.0023,0.014,0.014,0.014,0.014,0.012
"24 clones vs. LacZ ancestor",0.13,0.0073,0.044,0.015,0.029,0.029,0.029
"4 clones vs. LacZ ancestor",0.056,0.047,0.28,0.07,0.14,0.14,0.14
