plate,set_1,set_2,set_3
1,1,2,3
2,4,5,6
3,7,8,9
4,10,11,12
5,13,14,15
6,16,17,18
7,19,20,21
8,22,23,M9
9,25,26,27
10,28,29,30
11,31,32,33
12,34,35,36
13,37,38,39
14,40,41,42
15,43,44,45
16,46,47,48
17,anc1,anc2,anc3
18,anc4,anc5,anc6
19,anc1,anc1,M9
