"set","plate","well","tp","sheet","od_wave","od","substrate","sample","evolved","population"
"set_1","1","A_1","T1","Sheet1",600,0.056,"water","1","with_community","wt-b1"
"set_1","1","F_4","T6","Sheet1",590,0.431,"glycyl-l-glutamic acid","1","with_community","wt-b1"
"set_1","1","F_2","T5","Sheet1",600,0.47,"d-glucosaminic acid","1","with_community","wt-b1"
"set_1","1","A_1","T2","Sheet1",600,0.06,"water","1","with_community","wt-b1"
"set_1","1","A_1","T3","Sheet1",600,0.06,"water","1","with_community","wt-b1"
"set_1","1","G_3","T5","Sheet1",600,0.097,"alpha-keto butyric acid","1","with_community","wt-b1"
"set_1","1","A_1","T4","Sheet1",590,0.059,"water","1","with_community","wt-b1"
"set_1","1","A_4","T4","Sheet1",590,0.57,"l-arginine","1","with_community","wt-b1"
"set_1","1","G_4","T6","Sheet1",590,0.047,"phenylethyl-amine","1","with_community","wt-b1"
"set_1","1","E_4","T6","Sheet1",600,0.061,"l-threonine","1","with_community","wt-b1"
"set_1","1","A_1","T5","Sheet1",590,0.058,"water","1","with_community","wt-b1"
"set_1","1","C_4","T5","Sheet1",590,0.062,"l-phenylalanine","1","with_community","wt-b1"
"set_1","1","A_4","T5","Sheet1",590,0.604,"l-arginine","1","with_community","wt-b1"
"set_1","1","E_3","T1","Sheet1",600,0.097,"gamma-amino butyric acid","1","with_community","wt-b1"
"set_1","1","A_1","T6","Sheet1",600,0.053,"water","1","with_community","wt-b1"
"set_1","1","G_3","T6","Sheet1",590,0.096,"alpha-keto butyric acid","1","with_community","wt-b1"
"set_1","1","B_4","T3","Sheet1",600,0.82,"l-asparagine","1","with_community","wt-b1"
"set_1","1","E_3","T6","Sheet1",600,1.37,"gamma-amino butyric acid","1","with_community","wt-b1"
"set_1","1","B_3","T1","Sheet1",600,0.055,"d-galacturonic acid","1","with_community","wt-b1"
"set_1","1","G_4","T5","Sheet1",600,0.052,"phenylethyl-amine","1","with_community","wt-b1"
"set_1","1","C_2","T1","Sheet1",600,0.049,"i-erythritol","1","with_community","wt-b1"
"set_1","1","F_1","T4","Sheet1",590,0.084,"glycogen","1","with_community","wt-b1"
"set_1","1","H_4","T3","Sheet1",600,0.076,"putrescine","1","with_community","wt-b1"
"set_1","1","E_1","T4","Sheet1",590,0.113,"alpha-cyclodextrin","1","with_community","wt-b1"
"set_1","1","C_4","T4","Sheet1",590,0.064,"l-phenylalanine","1","with_community","wt-b1"
"set_1","1","D_1","T6","Sheet1",590,0.18,"tween 80","1","with_community","wt-b1"
"set_1","1","H_3","T1","Sheet1",600,0.051,"d-malic-acid","1","with_community","wt-b1"
"set_1","1","D_2","T6","Sheet1",600,0.99,"d-mannitol","1","with_community","wt-b1"
"set_1","1","A_4","T5","Sheet1",600,0.59,"l-arginine","1","with_community","wt-b1"
"set_1","1","F_2","T6","Sheet1",600,0.605,"d-glucosaminic acid","1","with_community","wt-b1"
"set_1","1","C_4","T6","Sheet1",600,0.054,"l-phenylalanine","1","with_community","wt-b1"
"set_1","1","B_3","T6","Sheet1",600,2.286,"d-galacturonic acid","1","with_community","wt-b1"
"set_1","1","C_2","T6","Sheet1",590,0.045,"i-erythritol","1","with_community","wt-b1"
"set_1","1","A_4","T3","Sheet1",600,0.262,"l-arginine","1","with_community","wt-b1"
"set_1","1","E_1","T6","Sheet1",600,0.087,"alpha-cyclodextrin","1","with_community","wt-b1"
"set_1","1","H_4","T4","Sheet1",590,0.213,"putrescine","1","with_community","wt-b1"
"set_1","1","G_1","T5","Sheet1",600,0.094,"d-cellobiose","1","with_community","wt-b1"
"set_1","1","H_2","T2","Sheet1",600,0.225,"dml-alpha-glycerol phosphate","1","with_community","wt-b1"
"set_1","1","A_4","T1","Sheet1",600,0.05,"l-arginine","1","with_community","wt-b1"
"set_1","1","B_3","T4","Sheet1",600,1.955,"d-galacturonic acid","1","with_community","wt-b1"
"set_1","1","F_4","T1","Sheet1",600,0.049,"glycyl-l-glutamic acid","1","with_community","wt-b1"
"set_1","1","H_2","T5","Sheet1",590,0.333,"dml-alpha-glycerol phosphate","1","with_community","wt-b1"
"set_1","1","G_3","T5","Sheet1",590,0.098,"alpha-keto butyric acid","1","with_community","wt-b1"
"set_1","1","F_4","T6","Sheet1",600,0.402,"glycyl-l-glutamic acid","1","with_community","wt-b1"
"set_1","1","A_3","T4","Sheet1",600,0.903,"d-galactonic cis-gamma-lactone","1","with_community","wt-b1"
"set_1","1","F_1","T2","Sheet1",600,0.083,"glycogen","1","with_community","wt-b1"
"set_1","1","D_3","T2","Sheet1",600,0.116,"4-hydroxy benzoic acid","1","with_community","wt-b1"
"set_1","1","D_3","T5","Sheet1",600,0.536,"4-hydroxy benzoic acid","1","with_community","wt-b1"
"set_1","1","F_4","T5","Sheet1",600,0.194,"glycyl-l-glutamic acid","1","with_community","wt-b1"
"set_1","1","G_4","T2","Sheet1",600,0.055,"phenylethyl-amine","1","with_community","wt-b1"
"set_1","1","A_3","T1","Sheet1",600,0.057,"d-galactonic cis-gamma-lactone","1","with_community","wt-b1"
"set_1","1","F_3","T2","Sheet1",600,0.144,"itaconic acid","1","with_community","wt-b1"
"set_1","1","D_3","T4","Sheet1",590,0.545,"4-hydroxy benzoic acid","1","with_community","wt-b1"
"set_1","1","F_1","T6","Sheet1",600,0.076,"glycogen","1","with_community","wt-b1"
"set_1","1","E_3","T6","Sheet1",590,1.509,"gamma-amino butyric acid","1","with_community","wt-b1"
"set_1","1","A_3","T4","Sheet1",590,0.911,"d-galactonic cis-gamma-lactone","1","with_community","wt-b1"
"set_1","1","C_2","T4","Sheet1",590,0.054,"i-erythritol","1","with_community","wt-b1"
"set_1","1","F_1","T3","Sheet1",600,0.083,"glycogen","1","with_community","wt-b1"
"set_1","1","H_2","T6","Sheet1",600,0.291,"dml-alpha-glycerol phosphate","1","with_community","wt-b1"
"set_1","1","D_3","T6","Sheet1",600,0.666,"4-hydroxy benzoic acid","1","with_community","wt-b1"
"set_1","1","G_4","T1","Sheet1",600,0.049,"phenylethyl-amine","1","with_community","wt-b1"
"set_1","1","A_4","T6","Sheet1",600,0.776,"l-arginine","1","with_community","wt-b1"
"set_1","1","A_4","T4","Sheet1",600,0.553,"l-arginine","1","with_community","wt-b1"
"set_1","1","B_3","T4","Sheet1",590,1.988,"d-galacturonic acid","1","with_community","wt-b1"
"set_1","1","F_4","T4","Sheet1",600,0.182,"glycyl-l-glutamic acid","1","with_community","wt-b1"
"set_1","1","F_3","T6","Sheet1",600,0.641,"itaconic acid","1","with_community","wt-b1"
"set_1","1","G_2","T4","Sheet1",590,0.104,"glucose-1-phosphate","1","with_community","wt-b1"
"set_1","1","G_3","T3","Sheet1",600,0.102,"alpha-keto butyric acid","1","with_community","wt-b1"
"set_1","1","E_1","T4","Sheet1",600,0.113,"alpha-cyclodextrin","1","with_community","wt-b1"
"set_1","1","E_2","T4","Sheet1",600,0.37,"n-acetyl-d-glucosamine","1","with_community","wt-b1"
"set_1","1","B_2","T2","Sheet1",600,0.135,"d-xylose","1","with_community","wt-b1"
"set_1","1","H_2","T5","Sheet1",600,0.33,"dml-alpha-glycerol phosphate","1","with_community","wt-b1"
"set_1","1","D_3","T1","Sheet1",600,0.097,"4-hydroxy benzoic acid","1","with_community","wt-b1"
"set_1","1","H_1","T4","Sheet1",590,0.06,"alpha-d-lactose","1","with_community","wt-b1"
"set_1","1","H_1","T1","Sheet1",600,0.069,"alpha-d-lactose","1","with_community","wt-b1"
"set_1","1","D_2","T4","Sheet1",600,0.767,"d-mannitol","1","with_community","wt-b1"
"set_1","1","C_2","T3","Sheet1",600,0.055,"i-erythritol","1","with_community","wt-b1"
"set_1","1","C_3","T6","Sheet1",590,0.042,"2-hydroxy benzoic acis","1","with_community","wt-b1"
"set_1","1","E_4","T5","Sheet1",590,0.068,"l-threonine","1","with_community","wt-b1"
"set_1","1","H_1","T3","Sheet1",600,0.064,"alpha-d-lactose","1","with_community","wt-b1"
"set_1","1","G_3","T4","Sheet1",600,0.101,"alpha-keto butyric acid","1","with_community","wt-b1"
"set_1","1","C_1","T5","Sheet1",590,0.099,"tween 40","1","with_community","wt-b1"
"set_1","1","B_2","T3","Sheet1",600,0.192,"d-xylose","1","with_community","wt-b1"
"set_1","1","H_1","T5","Sheet1",590,0.059,"alpha-d-lactose","1","with_community","wt-b1"
"set_1","1","G_2","T4","Sheet1",600,0.103,"glucose-1-phosphate","1","with_community","wt-b1"
"set_1","1","F_4","T2","Sheet1",600,0.079,"glycyl-l-glutamic acid","1","with_community","wt-b1"
"set_1","1","E_4","T4","Sheet1",600,0.071,"l-threonine","1","with_community","wt-b1"
"set_1","1","H_1","T5","Sheet1",600,0.059,"alpha-d-lactose","1","with_community","wt-b1"
"set_1","1","H_2","T3","Sheet1",600,0.349,"dml-alpha-glycerol phosphate","1","with_community","wt-b1"
"set_1","1","C_3","T2","Sheet1",600,0.042,"2-hydroxy benzoic acis","1","with_community","wt-b1"
"set_1","1","H_1","T4","Sheet1",600,0.06,"alpha-d-lactose","1","with_community","wt-b1"
"set_1","1","F_3","T6","Sheet1",590,0.656,"itaconic acid","1","with_community","wt-b1"
"set_1","1","D_4","T1","Sheet1",600,0.072,"l-serine","1","with_community","wt-b1"
"set_1","1","H_3","T6","Sheet1",590,0.087,"d-malic-acid","1","with_community","wt-b1"
"set_1","1","A_3","T3","Sheet1",600,0.513,"d-galactonic cis-gamma-lactone","1","with_community","wt-b1"
"set_1","1","C_2","T4","Sheet1",600,0.053,"i-erythritol","1","with_community","wt-b1"
"set_1","1","A_2","T6","Sheet1",600,0.054,"beta-methyl-d-glucoside","1","with_community","wt-b1"
"set_1","1","H_4","T1","Sheet1",600,0.048,"putrescine","1","with_community","wt-b1"
"set_1","1","G_1","T2","Sheet1",600,0.124,"d-cellobiose","1","with_community","wt-b1"
"set_1","1","C_2","T5","Sheet1",600,0.052,"i-erythritol","1","with_community","wt-b1"
"set_1","1","H_4","T2","Sheet1",600,0.065,"putrescine","1","with_community","wt-b1"
"set_1","1","E_2","T1","Sheet1",600,0.131,"n-acetyl-d-glucosamine","1","with_community","wt-b1"
"set_1","1","A_1","T4","Sheet1",600,0.059,"water","1","with_community","wt-b1"
"set_1","1","F_2","T2","Sheet1",600,0.134,"d-glucosaminic acid","1","with_community","wt-b1"
"set_1","1","F_1","T4","Sheet1",600,0.082,"glycogen","1","with_community","wt-b1"
"set_1","1","G_3","T4","Sheet1",590,0.102,"alpha-keto butyric acid","1","with_community","wt-b1"
"set_1","1","A_1","T5","Sheet1",600,0.058,"water","1","with_community","wt-b1"
"set_1","1","G_2","T6","Sheet1",590,0.092,"glucose-1-phosphate","1","with_community","wt-b1"
"set_1","1","F_1","T5","Sheet1",600,0.08,"glycogen","1","with_community","wt-b1"
"set_1","1","B_3","T6","Sheet1",590,2.406,"d-galacturonic acid","1","with_community","wt-b1"
"set_1","1","C_4","T1","Sheet1",600,0.064,"l-phenylalanine","1","with_community","wt-b1"
"set_1","1","E_2","T4","Sheet1",590,0.365,"n-acetyl-d-glucosamine","1","with_community","wt-b1"
"set_1","1","C_1","T6","Sheet1",600,0.095,"tween 40","1","with_community","wt-b1"
"set_1","1","E_2","T6","Sheet1",590,0.516,"n-acetyl-d-glucosamine","1","with_community","wt-b1"
"set_1","1","D_3","T6","Sheet1",590,0.718,"4-hydroxy benzoic acid","1","with_community","wt-b1"
"set_1","1","E_1","T1","Sheet1",600,0.144,"alpha-cyclodextrin","1","with_community","wt-b1"
"set_1","1","H_1","T2","Sheet1",600,0.068,"alpha-d-lactose","1","with_community","wt-b1"
"set_1","1","A_3","T6","Sheet1",590,1.258,"d-galactonic cis-gamma-lactone","1","with_community","wt-b1"
"set_1","1","B_3","T3","Sheet1",600,1.056,"d-galacturonic acid","1","with_community","wt-b1"
"set_1","1","B_1","T6","Sheet1",600,0.756,"pyruvic acid methyl ester","1","with_community","wt-b1"
"set_1","1","H_3","T5","Sheet1",590,0.076,"d-malic-acid","1","with_community","wt-b1"
"set_1","1","A_1","T6","Sheet1",590,0.053,"water","1","with_community","wt-b1"
"set_1","1","E_4","T4","Sheet1",590,0.069,"l-threonine","1","with_community","wt-b1"
"set_1","1","C_1","T5","Sheet1",600,0.095,"tween 40","1","with_community","wt-b1"
"set_1","1","A_3","T2","Sheet1",600,0.381,"d-galactonic cis-gamma-lactone","1","with_community","wt-b1"
"set_1","1","D_3","T5","Sheet1",590,0.549,"4-hydroxy benzoic acid","1","with_community","wt-b1"
"set_1","1","G_1","T4","Sheet1",600,0.098,"d-cellobiose","1","with_community","wt-b1"
"set_1","1","E_4","T6","Sheet1",590,0.061,"l-threonine","1","with_community","wt-b1"
"set_1","1","G_1","T6","Sheet1",590,0.083,"d-cellobiose","1","with_community","wt-b1"
"set_1","1","B_4","T6","Sheet1",600,1.879,"l-asparagine","1","with_community","wt-b1"
"set_1","1","D_2","T4","Sheet1",590,0.822,"d-mannitol","1","with_community","wt-b1"
"set_1","1","A_3","T5","Sheet1",600,0.879,"d-galactonic cis-gamma-lactone","1","with_community","wt-b1"
"set_1","1","F_1","T6","Sheet1",590,0.077,"glycogen","1","with_community","wt-b1"
"set_1","1","F_3","T3","Sheet1",600,0.283,"itaconic acid","1","with_community","wt-b1"
"set_1","1","D_3","T4","Sheet1",600,0.526,"4-hydroxy benzoic acid","1","with_community","wt-b1"
"set_1","1","H_1","T6","Sheet1",590,0.056,"alpha-d-lactose","1","with_community","wt-b1"
"set_1","1","E_2","T3","Sheet1",600,0.202,"n-acetyl-d-glucosamine","1","with_community","wt-b1"
"set_1","1","H_4","T6","Sheet1",590,0.369,"putrescine","1","with_community","wt-b1"
"set_1","1","H_3","T5","Sheet1",600,0.075,"d-malic-acid","1","with_community","wt-b1"
"set_1","1","B_2","T5","Sheet1",590,0.342,"d-xylose","1","with_community","wt-b1"
"set_1","1","D_2","T2","Sheet1",600,0.31,"d-mannitol","1","with_community","wt-b1"
"set_1","1","D_1","T3","Sheet1",600,0.155,"tween 80","1","with_community","wt-b1"
"set_1","1","E_2","T6","Sheet1",600,0.481,"n-acetyl-d-glucosamine","1","with_community","wt-b1"
"set_1","1","H_2","T1","Sheet1",600,0.062,"dml-alpha-glycerol phosphate","1","with_community","wt-b1"
"set_1","1","A_2","T4","Sheet1",590,0.057,"beta-methyl-d-glucoside","1","with_community","wt-b1"
"set_1","1","C_1","T4","Sheet1",590,0.102,"tween 40","1","with_community","wt-b1"
"set_1","1","E_3","T5","Sheet1",590,1,"gamma-amino butyric acid","1","with_community","wt-b1"
"set_1","1","C_3","T1","Sheet1",600,0.041,"2-hydroxy benzoic acis","1","with_community","wt-b1"
"set_1","1","D_2","T5","Sheet1",600,0.761,"d-mannitol","1","with_community","wt-b1"
"set_1","1","E_3","T5","Sheet1",600,0.987,"gamma-amino butyric acid","1","with_community","wt-b1"
"set_1","1","G_4","T4","Sheet1",590,0.054,"phenylethyl-amine","1","with_community","wt-b1"
"set_1","1","H_1","T6","Sheet1",600,0.056,"alpha-d-lactose","1","with_community","wt-b1"
"set_1","1","E_3","T4","Sheet1",590,1.031,"gamma-amino butyric acid","1","with_community","wt-b1"
"set_1","1","H_3","T4","Sheet1",590,0.07,"d-malic-acid","1","with_community","wt-b1"
"set_1","1","C_2","T6","Sheet1",600,0.046,"i-erythritol","1","with_community","wt-b1"
"set_1","1","B_1","T5","Sheet1",590,0.537,"pyruvic acid methyl ester","1","with_community","wt-b1"
"set_1","1","E_2","T5","Sheet1",600,0.3,"n-acetyl-d-glucosamine","1","with_community","wt-b1"
"set_1","1","D_4","T4","Sheet1",600,0.578,"l-serine","1","with_community","wt-b1"
"set_1","1","B_4","T5","Sheet1",600,1.645,"l-asparagine","1","with_community","wt-b1"
"set_1","1","E_1","T2","Sheet1",600,0.14,"alpha-cyclodextrin","1","with_community","wt-b1"
"set_1","1","D_3","T3","Sheet1",600,0.216,"4-hydroxy benzoic acid","1","with_community","wt-b1"
"set_1","1","E_4","T3","Sheet1",600,0.071,"l-threonine","1","with_community","wt-b1"
"set_1","1","H_2","T4","Sheet1",600,0.369,"dml-alpha-glycerol phosphate","1","with_community","wt-b1"
"set_1","1","C_4","T3","Sheet1",600,0.067,"l-phenylalanine","1","with_community","wt-b1"
"set_1","1","H_4","T5","Sheet1",590,0.242,"putrescine","1","with_community","wt-b1"
"set_1","1","C_2","T5","Sheet1",590,0.053,"i-erythritol","1","with_community","wt-b1"
"set_1","1","B_3","T5","Sheet1",590,1.978,"d-galacturonic acid","1","with_community","wt-b1"
"set_1","1","G_4","T3","Sheet1",600,0.056,"phenylethyl-amine","1","with_community","wt-b1"
"set_1","1","D_1","T4","Sheet1",600,0.181,"tween 80","1","with_community","wt-b1"
"set_1","1","D_2","T3","Sheet1",600,0.502,"d-mannitol","1","with_community","wt-b1"
"set_1","1","D_1","T5","Sheet1",590,0.189,"tween 80","1","with_community","wt-b1"
"set_1","1","B_2","T6","Sheet1",590,0.483,"d-xylose","1","with_community","wt-b1"
"set_1","1","B_4","T1","Sheet1",600,0.057,"l-asparagine","1","with_community","wt-b1"
"set_1","1","H_3","T6","Sheet1",600,0.083,"d-malic-acid","1","with_community","wt-b1"
"set_1","1","G_4","T5","Sheet1",590,0.052,"phenylethyl-amine","1","with_community","wt-b1"
"set_1","1","C_2","T2","Sheet1",600,0.055,"i-erythritol","1","with_community","wt-b1"
"set_1","1","F_4","T5","Sheet1",590,0.206,"glycyl-l-glutamic acid","1","with_community","wt-b1"
"set_1","1","E_2","T2","Sheet1",600,0.161,"n-acetyl-d-glucosamine","1","with_community","wt-b1"
"set_1","1","D_1","T6","Sheet1",600,0.17,"tween 80","1","with_community","wt-b1"
"set_1","1","C_1","T6","Sheet1",590,0.098,"tween 40","1","with_community","wt-b1"
"set_1","1","E_2","T5","Sheet1",590,0.338,"n-acetyl-d-glucosamine","1","with_community","wt-b1"
"set_1","1","B_4","T6","Sheet1",590,1.915,"l-asparagine","1","with_community","wt-b1"
"set_1","1","B_1","T3","Sheet1",600,0.245,"pyruvic acid methyl ester","1","with_community","wt-b1"
"set_1","1","B_2","T5","Sheet1",600,0.312,"d-xylose","1","with_community","wt-b1"
"set_1","1","B_2","T1","Sheet1",600,0.063,"d-xylose","1","with_community","wt-b1"
"set_1","1","G_2","T5","Sheet1",600,0.099,"glucose-1-phosphate","1","with_community","wt-b1"
"set_1","1","D_4","T6","Sheet1",590,0.916,"l-serine","1","with_community","wt-b1"
"set_1","1","A_3","T6","Sheet1",600,1.174,"d-galactonic cis-gamma-lactone","1","with_community","wt-b1"
"set_1","1","D_1","T1","Sheet1",600,0.065,"tween 80","1","with_community","wt-b1"
"set_1","1","F_2","T6","Sheet1",590,0.65,"d-glucosaminic acid","1","with_community","wt-b1"
"set_1","1","H_4","T4","Sheet1",600,0.223,"putrescine","1","with_community","wt-b1"
"set_1","1","D_1","T2","Sheet1",600,0.136,"tween 80","1","with_community","wt-b1"
"set_1","1","F_2","T4","Sheet1",590,0.529,"d-glucosaminic acid","1","with_community","wt-b1"
"set_1","1","G_4","T4","Sheet1",600,0.053,"phenylethyl-amine","1","with_community","wt-b1"
"set_1","1","F_3","T4","Sheet1",600,0.506,"itaconic acid","1","with_community","wt-b1"
"set_1","1","H_3","T2","Sheet1",600,0.067,"d-malic-acid","1","with_community","wt-b1"
"set_1","1","H_2","T6","Sheet1",590,0.297,"dml-alpha-glycerol phosphate","1","with_community","wt-b1"
"set_1","1","E_4","T5","Sheet1",600,0.065,"l-threonine","1","with_community","wt-b1"
"set_1","1","A_2","T3","Sheet1",600,0.057,"beta-methyl-d-glucoside","1","with_community","wt-b1"
"set_1","1","E_1","T3","Sheet1",600,0.116,"alpha-cyclodextrin","1","with_community","wt-b1"
"set_1","1","F_3","T5","Sheet1",600,0.52,"itaconic acid","1","with_community","wt-b1"
"set_1","1","B_4","T2","Sheet1",600,0.544,"l-asparagine","1","with_community","wt-b1"
"set_1","1","C_3","T6","Sheet1",600,0.042,"2-hydroxy benzoic acis","1","with_community","wt-b1"
"set_1","1","G_1","T1","Sheet1",600,0.138,"d-cellobiose","1","with_community","wt-b1"
"set_1","1","F_1","T1","Sheet1",600,0.068,"glycogen","1","with_community","wt-b1"
"set_1","1","D_2","T1","Sheet1",600,0.11,"d-mannitol","1","with_community","wt-b1"
"set_1","1","F_2","T1","Sheet1",600,0.049,"d-glucosaminic acid","1","with_community","wt-b1"
"set_1","1","C_4","T5","Sheet1",600,0.061,"l-phenylalanine","1","with_community","wt-b1"
"set_1","1","E_3","T3","Sheet1",600,0.525,"gamma-amino butyric acid","1","with_community","wt-b1"
"set_1","1","H_4","T6","Sheet1",600,0.354,"putrescine","1","with_community","wt-b1"
"set_1","1","C_3","T4","Sheet1",600,0.042,"2-hydroxy benzoic acis","1","with_community","wt-b1"
"set_1","1","H_3","T4","Sheet1",600,0.071,"d-malic-acid","1","with_community","wt-b1"
"set_1","1","D_2","T5","Sheet1",590,0.769,"d-mannitol","1","with_community","wt-b1"
"set_1","1","B_1","T1","Sheet1",600,0.059,"pyruvic acid methyl ester","1","with_community","wt-b1"
"set_1","1","B_1","T6","Sheet1",590,0.803,"pyruvic acid methyl ester","1","with_community","wt-b1"
"set_1","1","F_2","T5","Sheet1",590,0.522,"d-glucosaminic acid","1","with_community","wt-b1"
"set_1","1","F_3","T5","Sheet1",590,0.537,"itaconic acid","1","with_community","wt-b1"
"set_1","1","D_4","T5","Sheet1",600,0.606,"l-serine","1","with_community","wt-b1"
"set_1","1","A_2","T1","Sheet1",600,0.053,"beta-methyl-d-glucoside","1","with_community","wt-b1"
"set_1","1","B_1","T2","Sheet1",600,0.181,"pyruvic acid methyl ester","1","with_community","wt-b1"
"set_1","1","B_4","T4","Sheet1",590,1.708,"l-asparagine","1","with_community","wt-b1"
"set_1","1","D_4","T4","Sheet1",590,0.576,"l-serine","1","with_community","wt-b1"
"set_1","1","C_3","T4","Sheet1",590,0.042,"2-hydroxy benzoic acis","1","with_community","wt-b1"
"set_1","1","G_2","T5","Sheet1",590,0.1,"glucose-1-phosphate","1","with_community","wt-b1"
"set_1","1","G_4","T6","Sheet1",600,0.048,"phenylethyl-amine","1","with_community","wt-b1"
"set_1","1","D_4","T5","Sheet1",590,0.625,"l-serine","1","with_community","wt-b1"
"set_1","1","G_1","T4","Sheet1",590,0.1,"d-cellobiose","1","with_community","wt-b1"
"set_1","1","B_2","T6","Sheet1",600,0.453,"d-xylose","1","with_community","wt-b1"
"set_1","1","G_3","T2","Sheet1",600,0.114,"alpha-keto butyric acid","1","with_community","wt-b1"
"set_1","1","C_3","T5","Sheet1",590,0.042,"2-hydroxy benzoic acis","1","with_community","wt-b1"
"set_1","1","A_2","T6","Sheet1",590,0.054,"beta-methyl-d-glucoside","1","with_community","wt-b1"
"set_1","1","B_3","T2","Sheet1",600,0.724,"d-galacturonic acid","1","with_community","wt-b1"
"set_1","1","B_1","T4","Sheet1",590,0.619,"pyruvic acid methyl ester","1","with_community","wt-b1"
"set_1","1","G_2","T2","Sheet1",600,0.114,"glucose-1-phosphate","1","with_community","wt-b1"
"set_1","1","G_1","T5","Sheet1",590,0.096,"d-cellobiose","1","with_community","wt-b1"
"set_1","1","B_2","T4","Sheet1",590,0.377,"d-xylose","1","with_community","wt-b1"
"set_1","1","A_3","T5","Sheet1",590,0.898,"d-galactonic cis-gamma-lactone","1","with_community","wt-b1"
"set_1","1","E_1","T6","Sheet1",590,0.087,"alpha-cyclodextrin","1","with_community","wt-b1"
"set_1","1","E_1","T5","Sheet1",600,0.107,"alpha-cyclodextrin","1","with_community","wt-b1"
"set_1","1","D_4","T6","Sheet1",600,0.892,"l-serine","1","with_community","wt-b1"
"set_1","1","B_4","T4","Sheet1",600,1.684,"l-asparagine","1","with_community","wt-b1"
"set_1","1","A_4","T6","Sheet1",590,0.811,"l-arginine","1","with_community","wt-b1"
"set_1","1","C_3","T5","Sheet1",600,0.042,"2-hydroxy benzoic acis","1","with_community","wt-b1"
"set_1","1","F_2","T4","Sheet1",600,0.494,"d-glucosaminic acid","1","with_community","wt-b1"
"set_1","1","C_1","T4","Sheet1",600,0.097,"tween 40","1","with_community","wt-b1"
"set_1","1","F_1","T5","Sheet1",590,0.081,"glycogen","1","with_community","wt-b1"
"set_1","1","G_3","T1","Sheet1",600,0.119,"alpha-keto butyric acid","1","with_community","wt-b1"
"set_1","1","F_3","T4","Sheet1",590,0.527,"itaconic acid","1","with_community","wt-b1"
"set_1","1","D_4","T2","Sheet1",600,0.168,"l-serine","1","with_community","wt-b1"
"set_1","1","B_3","T5","Sheet1",600,1.892,"d-galacturonic acid","1","with_community","wt-b1"
"set_1","1","G_1","T6","Sheet1",600,0.083,"d-cellobiose","1","with_community","wt-b1"
"set_1","1","A_2","T2","Sheet1",600,0.058,"beta-methyl-d-glucoside","1","with_community","wt-b1"
"set_1","1","B_2","T4","Sheet1",600,0.355,"d-xylose","1","with_community","wt-b1"
"set_1","1","D_1","T4","Sheet1",590,0.193,"tween 80","1","with_community","wt-b1"
"set_1","1","G_2","T3","Sheet1",600,0.099,"glucose-1-phosphate","1","with_community","wt-b1"
"set_1","1","F_2","T3","Sheet1",600,0.262,"d-glucosaminic acid","1","with_community","wt-b1"
"set_1","1","D_2","T6","Sheet1",590,1.015,"d-mannitol","1","with_community","wt-b1"
"set_1","1","G_1","T3","Sheet1",600,0.106,"d-cellobiose","1","with_community","wt-b1"
"set_1","1","F_4","T3","Sheet1",600,0.097,"glycyl-l-glutamic acid","1","with_community","wt-b1"
"set_1","1","E_3","T2","Sheet1",600,0.393,"gamma-amino butyric acid","1","with_community","wt-b1"
"set_1","1","C_1","T1","Sheet1",600,0.06,"tween 40","1","with_community","wt-b1"
"set_1","1","C_4","T6","Sheet1",590,0.054,"l-phenylalanine","1","with_community","wt-b1"
"set_1","1","D_4","T3","Sheet1",600,0.267,"l-serine","1","with_community","wt-b1"
"set_1","1","A_2","T5","Sheet1",600,0.056,"beta-methyl-d-glucoside","1","with_community","wt-b1"
"set_1","1","H_2","T4","Sheet1",590,0.356,"dml-alpha-glycerol phosphate","1","with_community","wt-b1"
"set_1","1","F_4","T4","Sheet1",590,0.204,"glycyl-l-glutamic acid","1","with_community","wt-b1"
"set_1","1","C_1","T3","Sheet1",600,0.098,"tween 40","1","with_community","wt-b1"
"set_1","1","H_4","T5","Sheet1",600,0.24,"putrescine","1","with_community","wt-b1"
"set_1","1","A_2","T4","Sheet1",600,0.056,"beta-methyl-d-glucoside","1","with_community","wt-b1"
"set_1","1","C_4","T2","Sheet1",600,0.069,"l-phenylalanine","1","with_community","wt-b1"
"set_1","1","G_2","T6","Sheet1",600,0.091,"glucose-1-phosphate","1","with_community","wt-b1"
"set_1","1","E_1","T5","Sheet1",590,0.108,"alpha-cyclodextrin","1","with_community","wt-b1"
"set_1","1","G_2","T1","Sheet1",600,0.12,"glucose-1-phosphate","1","with_community","wt-b1"
"set_1","1","A_2","T5","Sheet1",590,0.056,"beta-methyl-d-glucoside","1","with_community","wt-b1"
"set_1","1","C_3","T3","Sheet1",600,0.042,"2-hydroxy benzoic acis","1","with_community","wt-b1"
"set_1","1","E_3","T4","Sheet1",600,0.928,"gamma-amino butyric acid","1","with_community","wt-b1"
"set_1","1","H_3","T3","Sheet1",600,0.08,"d-malic-acid","1","with_community","wt-b1"
"set_1","1","C_1","T2","Sheet1",600,0.097,"tween 40","1","with_community","wt-b1"
"set_1","1","A_4","T2","Sheet1",600,0.12,"l-arginine","1","with_community","wt-b1"
"set_1","1","B_1","T5","Sheet1",600,0.51,"pyruvic acid methyl ester","1","with_community","wt-b1"
"set_1","1","D_1","T5","Sheet1",600,0.178,"tween 80","1","with_community","wt-b1"
"set_1","1","E_4","T1","Sheet1",600,0.068,"l-threonine","1","with_community","wt-b1"
