"","row","1","2","3","4","5","6","7","8","9","10","11","12"
"1","A",120,120,120,130,100,90,110,130,170,140,150,120
"2","B",90,140,160,110,160,140,130,80,120,130,140,NA
"3","C",100,110,120,160,140,100,80,160,110,80,130,90
"4","D",150,140,120,90,80,100,80,100,100,100,80,100
"5","E",70,60,120,120,60,130,NA,NA,NA,NA,NA,NA
